sn,ts,gx,gy,gz,ax,ay,az,mx,my,mz,dt,mbx,mby,mbz
1476,301771033193778,0.0006023136,-0.0014666840,-0.0008491026,-0.0430969447,0.1987248063,9.8811721802,44.7599945068,-0.0599975586,-106.1400146484,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1477,301771053222211,-0.0006194171,-0.0014666840,-0.0008491026,-0.0359141231,0.2011190802,9.8763837814,44.4599990845,0.0000000000,-106.2600097656,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1478,301771073250677,-0.0024520126,-0.0008558258,0.0003726287,-0.0383083969,0.1915419847,9.9003267288,44.4599990845,0.0000000000,-106.2600097656,0.0200284664,23.5799999237,-108.4199981689,443.2799987793
1479,301771093279143,-0.0018411479,-0.0008558258,-0.0002382370,-0.0359141231,0.1747820675,9.8787775040,44.6999969482,0.1800003052,-105.8999938965,0.0200284664,23.5799999237,-108.4199981689,443.2799987793
1480,301771113307576,-0.0006194171,-0.0014666840,0.0009834925,-0.0359141231,0.1747820675,9.8787775040,44.5799942017,-0.5400009155,-105.8999938965,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1481,301771133336009,-0.0000085519,0.0003659055,0.0003726287,-0.0478854962,0.1891477108,9.8955373764,44.5799942017,-0.5400009155,-105.8999938965,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1482,301771153364442,0.0012131785,0.0009767711,0.0003726287,-0.0454912223,0.1987248063,9.8931436539,44.6399993896,-0.5400009155,-106.0800170898,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1483,301771173392875,0.0018240439,0.0003659055,0.0003726287,-0.0502797700,0.2059076279,9.8763837814,44.6399993896,-0.5400009155,-106.0800170898,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1484,301771193421308,0.0018240439,-0.0002449527,-0.0008491026,-0.0502797700,0.2059076279,9.8763837814,44.5799942017,0.0599975586,-105.0599975586,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1485,301771213449741,-0.0018411479,-0.0014666840,-0.0002382370,-0.0407026708,0.2083019018,9.8835668564,44.8799972534,0.3000030518,-105.5400085449,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1486,301771233478207,-0.0012302822,-0.0002449527,0.0003726287,-0.0478854962,0.1987248063,9.8931436539,45.0000000000,0.5400009155,-105.9599914551,0.0200284664,23.5799999237,-108.4199981689,443.2799987793
1487,301771253506673,-0.0018411479,-0.0002449527,-0.0002382370,-0.0430969447,0.2083019018,9.8931436539,45.0000000000,0.5400009155,-105.9599914551,0.0200284664,23.5799999237,-108.4199981689,443.2799987793
1488,301771273535106,-0.0012302822,-0.0002449527,-0.0002382370,-0.0478854962,0.1867534369,9.8931436539,45.1199951172,0.5999984741,-105.8399963379,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1489,301771293563539,-0.0006194171,-0.0002449527,-0.0008491026,-0.0454912223,0.1699935049,9.8835668564,44.8199996948,0.3600006104,-105.5400085449,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1490,301771313591972,0.0012131785,0.0003659055,0.0003726287,-0.0454912223,0.1699935049,9.8835668564,44.8199996948,-0.3000030518,-106.2000122070,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
